# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
356;Rechtsgrundlage gem. Polizeigesetz;Rechtsgrundlage gem. Polizeigesetz;ZIR;V1.4;20210813

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Kategorie
356_239;§ 39 Abs. 1 Nr. 3 BPolG;0;1;0;NULL;;Präventivgewahrsam (Sicherheits- oder Unterbindungsgewahrsam);;;;
356_24;§ 56 Abs. 1 BKAG;0;1;0;NULL;;elektronische Aufenthaltsüberwachung (elektr. Fußfessel);;;;3
356_240;§ 39 Abs. 2 BPolG;0;1;0;NULL;;Gewahrsam bei Minderjährigen;;;;
356_241;§ 39 Abs. 3 BPolG;0;1;0;NULL;;Gewahrsam bei Entwichenen;;;;
356_242;§ 39 Abs. 4 BPolG;0;1;0;NULL;;Gewahrsam bei Ersuchen;;;;
356_243;§ 43 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Durchsuchung einer Person, die festgehalten werden kann;;;;
356_244;§ 43 Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;Durchsuchung zur Sicherstellung von Sachen;;;;
356_245;§ 43 Abs. 1 Nr. 3 BPolG;0;1;0;NULL;;Durchsuchung hilfloser Personen;;;;
356_246;§ 43 Abs. 1 Nr. 4 BPolG;0;1;0;NULL;;Durchsuchung von Personen in oder an Schutz- und Sicherungsobjekten;;;;
356_247;§ 43 Abs. 2 BPolG;0;1;0;NULL;;Durchsuchen einer Person im Notstands- und Verteidigungsfall;;;;
356_248;§ 43 Abs. 3 BPolG;0;1;0;NULL;;Durchsuchung beim Anhalten zur Identitätsfeststellung;;;;
356_249;§ 43 Abs. 5 BPolG;0;1;0;NULL;;Festhalten und Mitnahme zur Dienststelle zur Durchsuchung der Person;;;;
356_25;§ 57 Abs. 1 BKAG;0;1;0;NULL;;Gewahrsam;;;;4
356_250;§ 44 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Durchsuchung von Sachen, die eine Person mitführt, die nach § 43 durchsucht werden darf;;;;
356_251;§ 44 Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;Durchsuchung zum Auffinden von Personen, die in Gewahrsam genommen werden können, widerrechtlich festgehalten werden oder hilflos sind;;;;
356_252;§ 44 Abs. 1 Nr. 3 BPolG;0;1;0;NULL;;Durchsuchung nach Sachen, die sichergestellt werden dürfen;;;;
356_253;§ 44 Abs. 1 Nr. 4 BPolG;0;1;0;NULL;;Durchsuchung von Sachen in oder an Schutz- oder Sicherungsobjekten;;;;
356_254;§ 44 Abs. 2 BPolG;0;1;0;NULL;;Durchsuchung im 30km-Gebiet zur Verhinderung oder Unterbindung unerlaubter Einreise;;;;
356_255;§ 45 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Betreten und Durchsuchen von Wohnungen zum Zweck der Vorführung oder Ingewahrsamnahme;;;;
356_256;§ 45 Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;Betreten und Durchsuchen von Wohnungen zur Sicherstellung von Sachen;;;;
356_257;§ 45 Abs. 1 Nr. 3 BPolG;0;1;0;NULL;;Betreten und Durchsuchen von Wohnungen zur Abwehr einer gegenwärtigen Gefahr für bedeutende Rechtsgüter;;;;
356_258;§ 45 Abs. 2 BPolG;0;1;0;NULL;;Betreten und Durchsuchen zur Nachtzeit;;;;
356_259;§ 45 Abs. 3 BPolG;0;1;0;NULL;;Betreten von Wohnungen zur Verhütung oder Unterbindung unerlaubter Einreisen;;;;
356_26;§ 58 Abs. 1 und 2 BKAG;0;1;0;NULL;;Durchsuchung von Personen;;;;4
356_260;§ 45 Abs. 4 BPolG;0;1;0;NULL;;Durchsuchen einer Wohnung im Notstands- und Verteidigungsfall;;;;
356_261;§ 45 Abs. 5 BPolG;0;1;0;NULL;;Betreten öffentlich zugänglicher Arbeit-, Betriebs- und Geschäftsräume;;;;
356_262;§ 47 Nr. 1 BPolG;0;1;0;NULL;;Sicherstellung zur Abwehr einer gegenwärtigen Gefahr;;;;
356_263;§ 47 Nr. 2 BPolG;0;1;0;NULL;;Sicherstellung zugunsten des Eigentümers oder rechtmäßigen Inhabers der tatsächlichen Gewalt;;;;
356_264;§ 47 Nr. 3 BPolG;0;1;0;NULL;;Sicherstellung von Sachen, die festgehaltene Personen mitführen;;;;
356_265;§ 62 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Inanspruchnahme von Grundstücken;;;;
356_266;BPolG;0;1;0;NULL;;Bundespolizeigesetz;;;;
356_267;Art. 11 PAG BY;0;1;0;NULL;;allgemeine Befugnisse;;;;
356_268;Art. 13 PAG BY;0;1;0;NULL;;Identitätsfeststellung und Prüfung von Berechtigungsscheinen;;;;
356_269;Art. 14 PAG BY;0;1;0;NULL;;erkennungsdienstliche Maßnahmen;;;;
356_27;§ 59 Abs. 1 BKAG;0;1;0;NULL;;Durchsuchung von Sachen;;;;4
356_270;Art. 15 PAG BY;0;1;0;NULL;;Vorladung;;;;
356_271;Art. 16 PAG BY;0;1;0;NULL;;Platzverweisung, Kontaktverbot, Aufenthalts- und Meldeanordnung;;;;
356_272;Art. 17 PAG BY;0;1;0;NULL;;Gewahrsam;;;;
356_273;Art. 21 PAG BY;0;1;0;NULL;;Durchsuchung von Personen;;;;
356_274;Art. 22 PAG BY;0;1;0;NULL;;Durchsuchung von Sachen;;;;
356_275;Art. 23 PAG BY;0;1;0;NULL;;Betreten und Durchsuchen von Wohnungen;;;;
356_276;Art. 25 PAG BY;0;1;0;NULL;;Sicherstellung;;;;
356_277;Art. 29 PAG BY;0;1;0;NULL;;Befugnisse für Aufgaben der Grenzkontrolle und Sicherung von Anlagen;;;;
356_278;Art. 32 PAG BY;0;1;0;NULL;;Datenerhebung;;;;
356_28;§ 60 Abs. 1 BKAG;0;1;0;NULL;;Sicherstellung;;;;4
356_280;Art. 34 PAG BY;0;1;0;NULL;;elektronische Aufenthaltsüberwachung;;;;
356_282;Art. 45 PAG BY;0;1;0;NULL;;verdeckter Zugriff auf informationstechnische Systeme;;;;
356_284;Art. 54 PAG BY;0;1;0;NULL;;Speicherung, Veränderung und Nutzung von Daten;;;;
356_287;Art. 61 PAG BY;0;1;0;NULL;;Datenabgleich innerhalb der Polizei;;;;
356_288;Art. 46 PAG BY;0;1;0;NULL;;Rasterfahndung;;;;
356_289;Art. 63 PAG BY;0;1;0;NULL;;automatisiertes Abrufverfahren;;;;
356_29;§ 61 Abs. 1 BKAG;0;1;0;NULL;;Betreten und Durchsuchen von Wohnungen;;;;4
356_290;Art. 67 PAG BY;0;1;0;NULL;;Vollzugshilfe;;;;
356_291;Art. 72 PAG BY;0;1;0;NULL;;Ersatzvornahme;;;;
356_292;Art. 75 PAG BY;0;1;0;NULL;;unmittelbarer Zwang;;;;
356_293;Art. 79 PAG BY;0;1;0;NULL;;Handeln auf Anordnung;;;;
356_294;Art. 81 PAG BY;0;1;0;NULL;;Androhung unmittelbaren Zwangs;;;;
356_295;Art. 82 PAG BY;0;1;0;NULL;;Fesselung von Personen;;;;
356_296;Art. 85 PAG BY;0;1;0;NULL;;Schusswaffengebrauch gegen Personen;;;;
356_297;§ 7 BremPolG;0;1;0;NULL;;Inanspruchnahme anderer Personen;;;;
356_298;§ 10 BremPolG;0;1;0;NULL;;allgemeine Befugnisse;;;;
356_299;§ 11 Abs. 2 Nr. 6 BremPolG;0;1;0;NULL;;Durchsuchung einer Person zur Identitätsfeststellung nach § 11BremPolG;;;;
356_3;§ 20z BKAG (bis 24.05.2018);0;1;0;NULL;;Elektronische Aufenthaltsüberwachung (Fußfessel);;2018-05-24;;3
356_30;§ 62 Abs. 1 BKAG;0;1;0;NULL;;Schutz zeugnisverweigerungsberechtigter Personen;;;;4
356_300;§ 11 Abs. 1 Nr. 2b BremPolG;0;1;0;NULL;;Identitätsfeststellung bei Personen, die sich an einem Ort aufhalten, an dem sich Straftäter verbergen;;;;
356_301;§ 11b Abs. 1 Nr. 2 BremPolG;0;1;0;NULL;;ED-Maßnahmen zur Verhütung von Straftaten;;;;
356_303;§ 11b Abs. 1 Nr. 1 BremPolG;0;1;0;NULL;;ED-Maßnahmen zur Identitätsfeststellung;;;;
356_304;§ 11 BremPolG;0;1;0;NULL;;Identitätsfeststellung, Prüfung von Berechtigungsscheinen;;;;
356_306;§ 11b BremPolG;0;1;0;NULL;;erkennungsdienstliche Maßnahmen;;;;
356_307;§ 11 Abs. 2 BremPolG;0;1;0;NULL;;Anhalten, Verbringung zur Dienststelle und Durchsuchung des Betroffenen und der von ihm mitgeführten Sachen zur Identitätsfeststellung;;;;
356_308;§ 11 Abs. 2 Nr. 4 BremPolG;0;1;0;NULL;;Auskunftspflicht und Pflicht zur Aushändigung von Ausweispapieren;;;;
356_309;§ 11 Abs. 2 Nr. 8 BremPolG;0;1;0;NULL;;Verbringen zur Dienststelle zur Identitätsfeststellung;;;;
356_31;§ 63 Abs. 1 BKAG;0;1;0;NULL;;Generalklausel - Schutz von Mitgliedern der Verfassungsorgane und der Leitung des BKA;;;;4
356_310;§ 11 Abs. 1 Nr. 4 BremPolG;0;1;0;NULL;;Identitätsfeststellung bei Personen zur Verhütung oder Verhinderung gefährlicher Straftaten an Schutz- und Sicherungsobjekten, öffentlichen Anlagen und Einrichtungen;;;;
356_311;§ 11 Abs. 1 Nr. 2a BremPolG;0;1;0;NULL;;Identitätsfeststellung bei Personen, die sich an einem Ort aufhalten, an dem Straftaten verabredet, vorbereitet oder verübt werden;;;;
356_312;§ 11 Abs. 1 Nr. 3 BremPolG;0;1;0;NULL;;Identitätsfeststellung an einer polizeilichen Kontrollstelle zur Verhinderung von Straftaten;;;;
356_313;§ 11 Abs. 5 BremPolG;0;1;0;NULL;;Prüfung von Berechtigungsscheinen;;;;
356_314;§ 11 Abs. 1 Nr. 1 BremPolG;0;1;0;NULL;;Identitätsfeststellung zur Abwehr einer Gefahr;;;;
356_315;§ 12 Abs. 3 BremPolG;0;1;0;NULL;;zwangsweise Durchsetzung einer Vorladung;;;;
356_316;§ 12 Abs. 1 Nr. 1 BremPolG;0;1;0;NULL;;Vorladung zur Erlangung sachdienlicher Angaben;;;;
356_317;§ 12 BremPolG;0;1;0;NULL;;Vorladung;;;;
356_318;§ 12 Abs. 1 Nr. 2 BremPolG;0;1;0;NULL;;Vorladung zur Durchführung erkennungsdienstlicher Maßnahmen;;;;
356_319;§ 13 Abs. 5 Nr. BremPolG;0;1;0;NULL;;lageabhängige Befragung;;;;
356_32;§ 64 Abs. 1 BKAG (bis 24.05.2018);0;1;0;NULL;;'Längerfristige Observation; Einsatz technischer Mittel, Abhören und Aufzeichnen des nicht öffentlich gesprochenen Wortes außerhalb von Wohnungen; VP-Einsatz';;2018-05-24;;2
356_320;§ 13 Abs. 3 Nr. BremPolG;0;1;0;NULL;;Befragen und Anhalten;;;;
356_321;§ 13 Abs. 2 Nr. BremPolG;0;1;0;NULL;;Auskunftspflicht;;;;
356_322;§ 13 Abs. 1 Nr. BremPolG;0;1;0;NULL;;Befragung und Auskunftspflicht;;;;
356_323;§ 14a Abs. 1 Nr. BremPolG;0;1;0;NULL;;Wohnungsverweisung sowie Rückkehr- und Betretungsverbot zum Schutz vor häuslicher Gewalt;;;;
356_324;§ 14 Abs. 2 Nr. BremPolG;0;1;0;NULL;;Platzverweisung, zeitlich und örtlich erweitert;;;;
356_325;§ 14 Abs. 1 Nr. BremPolG;0;1;0;NULL;;Platzverweisung;;;;
356_326;§ 15 Abs. 1 S. 1 Nr. 2 BremPolG;0;1;0;NULL;;Gewahrsam zur Verhinderung von Straftaten oder bedeutenden Ordnungswidrigkeiten;;;;
356_327;§ 15 BremPolG;0;1;0;NULL;;Gewahrsam von Personen;;;;
356_328;§ 15 Abs. 3 BremPolG;0;1;0;NULL;;Gewahrsam bei Entwichenen;;;;
356_329;§ 15 Abs. 1 S. 1 Nr. 4 BremPolG;0;1;0;NULL;;Gewahrsam zur Durchsetzung einer Wohnungsverweisung sowie des Rückkehr- und Betretungsverbots;;;;
356_33;§ 65 Abs. 1 BKAG (bis 24.05.2018);0;1;0;NULL;;Ausschreibung zur polizeilichen Kontrolle oder gezielten Beobachtung;;2018-05-24;;4
356_330;§ 15 Abs. 1 S. 2 BremPolG;0;1;0;NULL;;Gewahrsam zum Schutz privater Rechte;;;;
356_331;§ 15 Abs. 2 BremPolG;0;1;0;NULL;;Gewahrsam bei Minderjährigen;;;;
356_332;§ 15 Abs. 1 S. 1 Nr. 1 BremPolG;0;1;0;NULL;;Gewahrsam zum eigenen Schutz der Person;;;;
356_333;§ 15 Abs. 1 S. 1 Nr. 3 BremPolG;0;1;0;NULL;;Gewahrsam zur Durchsetzung einer Platzverweisung;;;;
356_334;§ 17 BremPolG;0;1;0;NULL;;Verfahren bei amtlichem Gewahrsam;;;;
356_335;§ 19 Abs. 1 Nr. 5 BremPolG;0;1;0;NULL;;Durchsuchung einer Person Aufenthalt im Sinne des § 11 Abs. 1 Nr. 4;;;;
356_336;§ 19 BremPolG;0;1;0;NULL;;Durchsuchung von Personen;;;;
356_337;§ 19 Abs. 4 BremPolG;0;1;0;NULL;;Verfahren bei der Durchsuchung von Personen;;;;
356_338;§ 19 Abs. 1 Nr. 4 BremPolG;0;1;0;NULL;;Durchsuchung einer Person bei Antreffen an einem Ort nach § 11 Abs. 1 Nr. 2;;;;
356_339;§ 19 Abs. 1 Nr. 1 BremPolG;0;1;0;NULL;;Durchsuchung einer Person bei Ingewahrsamnahme;;;;
356_34;§ 66 Abs. 1 BKAG;0;1;0;NULL;;Generalklausel - Zeugenschutz;;;;4
356_340;§ 19 Abs. 1 Nr. 3 BremPolG;0;1;0;NULL;;Durchsuchung einer Person bei hilfloser Lage;;;;
356_341;§ 19 Abs. 1 Nr. 2 BremPolG;0;1;0;NULL;;Durchsuchung einer Person zur Sicherstellung von Sachen;;;;
356_342;§ 19 Abs. 3 BremPolG;0;1;0;NULL;;Durchsuchung einer Person zum Schutz des Beamten oder Dritter;;;;
356_343;§ 20 Abs. 1 Nr. 2 BremPolG;0;1;0;NULL;;Durchsuchung von Sachen zum Auffinden von Personen, die in Gewahrsam genommen werden können, widerrechtlich festgehalten oder hilflos sind;;;;
356_344;§ 20 BremPolG;0;1;0;NULL;;Durchsuchung von Sachen;;;;
356_345;§ 20 Abs. 1 Nr. 1 BremPolG;0;1;0;NULL;;Durchsuchung von Sachen, die eine Person mitführt, die nach § 19 BremPolG durchsucht werden darf;;;;
356_346;§ 20 Abs. 1 Nr. 4 BremPolG;0;1;0;NULL;;Durchsuchung von Fahrzeugen und darin enthaltener Sachen zur Identitätsfeststellung;;;;
356_347;§ 20 Abs. 1 Nr. 3 BremPolG;0;1;0;NULL;;Durchsuchung nach Sachen, die sichergestellt werden können.;;;;
356_348;§ 20 Abs. 2 BremPolG;0;1;0;NULL;;Verfahren bei der Durchsuchung von Sachen;;;;
356_349;§ 21 Abs. 3 Nr. 2 BremPolG;0;1;0;NULL;;Betreten und Durchsuchen von Räumen, in denen sich gesuchte Straftäter verbergen;;;;
356_35;§ 67 BKAG;0;1;0;NULL;;Generalklausel - behördlicher Eigenschutz;;;;4
356_350;§ 21 Abs. 4 BremPolG;0;1;0;NULL;;Betreten von öffentlich zugänglichen Räumen zur Gefahrenabwehr;;;;
356_351;§ 21 Abs. 1 Nr. 4 BremPolG;0;1;0;NULL;;Betreten und Durchsuchen wenn von der Wohnung Emissionen ausgehen, die geeignet sind, Gesundheitsschäden zu verursachen;;;;
356_352;§ 21 Abs. 1 Nr. 3 BremPolG;0;1;0;NULL;;Betreten und Durchsuchen zur Abwehr einer gegenwärtigen erheblichen Gefahr;;;;
356_353;§ 21 Abs. 1 Nr. 1 BremPolG;0;1;0;NULL;;Betreten und Durchsuchen zum Zweck der Vorführung oder Ingewahrsamnahme;;;;
356_354;§ 21 Abs. 2 BremPolG;0;1;0;NULL;;Betreten und Durchsuchen zur Nachtzeit;;;;
356_355;§ 21 Abs. 1 Nr. 2 BremPolG;0;1;0;NULL;;Betreten und Durchsuchen zur Sicherstellung von Sachen;;;;
356_356;§ 21 Abs. 3 Nr. 1 BremPolG;0;1;0;NULL;;Betreten und Durchsuchen von Räumen in denen Straftaten verabredet, vorbereitet oder verübt werden;;;;
356_357;§ 21 BremPolG;0;1;0;NULL;;Betreten und Durchsuchung von Wohnungen;;;;
356_358;§ 22 BremPolG;0;1;0;NULL;;Verfahren bei der Durchsuchung von Räumen;;;;
356_359;§ 23 Abs. Nr. 3 BremPolG;0;1;0;NULL;;Sicherstellung von Sachen, die festgehaltene Personen mitführen;;;;
356_36;§ 68 BKAG;0;1;0;NULL;;Sicherheitsüberprüfung;;;;4
356_360;§ 23 Abs. Nr. 1 BremPolG;0;1;0;NULL;;Sicherstellung von Sachen zur Eigentumssicherung;;;;
356_361;§ 23 Abs. Nr. 2 BremPolG;0;1;0;NULL;;Sicherstellung zur Abwehr einer gegenwärtigen Gefahr;;;;
356_362;§ 23 BremPolG;0;1;0;NULL;;Sicherstellung von Sachen;;;;
356_363;§ 24 BremPolG;0;1;0;NULL;;Durchführung der Sicherstellung;;;;
356_365;§ 25 BremPolG;0;1;0;NULL;;Verwertung, Vernichtung;;;;
356_366;§ 27 Abs. 1 BremPolG;0;1;0;NULL;;Datenerhebung bei Betroffenen, öffentlichen oder nicht öffentlichen Stellen,;;;;
356_367;§ 27 Abs. 2 BremPolG;0;1;0;NULL;;verdeckte Datenerhebung;;;;
356_368;§ 28 Abs. 2 Nr. 4 BremPolG;0;1;0;NULL;;Datenerhebung bei Hinweisgebern oder sonstigen Auskunftspersonen zur Sachverhaltsaufklärung;;;;
356_369;§ 28 Abs. 3 Nr. 1 BremPolG;0;1;0;NULL;;Datenerhebung bei Personen mit besonderen Kenntnissen/Fähigkeiten;;;;
356_37;BbgPolG;0;1;0;NULL;;Gesetz über die Aufgaben, Befugnisse, Organisation und Zuständigkeit der Polizei im Land Brandenburg (Brandenburgisches Polizeigesetz - BbgPolG);;;;
356_370;§ 28 BremPolG;0;1;0;NULL;;Erhebung personenbezogener Daten;;;;
356_371;§ 28 Abs. 3 Nr. 4 BremPolG;0;1;0;NULL;;Datenerhebung bei Verantwortlichen für Veranstaltungen in der Öffentlichkeit, die nicht dem Versammlungsgesetz unterliegen;;;;
356_372;§ 28 Abs. 3 Nr. 3 BremPolG;0;1;0;NULL;;Datenerhebung bei Verantwortlichen für gefährdete Anlagen oder Einrichtungen;;;;
356_373;§ 28 Abs. 3 Nr. 2 BremPolG;0;1;0;NULL;;Datenerhebung bei Verantwortlichen für Anlagen oder Einrichtungen, von denen eine erhebliche Gefahr ausgehen kann;;;;
356_374;§ 28 Abs. 2 Nr. 1 BremPolG;0;1;0;NULL;;Datenerhebung zur Verhütung von Straftaten bei möglichen Tätern;;;;
356_375;§ 28 Abs. 3 BremPolG;0;1;0;NULL;;Datenerhebung zur Vorbereitung für die Abwehr von Gefahren;;;;
356_376;§ 28 Abs. 2 Nr. 2 BremPolG;0;1;0;NULL;;Datenerhebung zur Verhütung von Straftaten bei möglichen Opfern;;;;
356_377;§ 28 Abs. 2 BremPolG;0;1;0;NULL;;Erhebung personenbezogener Daten zur Verhütung von Straftaten;;;;
356_378;§ 28 Abs. 2 Nr. 3 BremPolG;0;1;0;NULL;;Datenerhebung zum Schutz einer gefährdeten Person;;;;
356_379;§ 28 Abs. 1 BremPolG;0;1;0;NULL;;Datenerhebung zur Abwehr einer im einzelnen Falle bevorstehenden Gefahr;;;;
356_38;ASOG Bln;0;1;0;NULL;;allgemeines Gesetz zum Schutz der öffentlichen Sicherheit und Ordnung in Berlin;;;;
356_380;§ 29 Abs. 5 BremPolG;0;1;0;NULL;;Bildaufzeichnungen zum Schutz von Polizeivollzugsbeamten;;;;
356_381;§ 29 Abs. 3 BremPolG;0;1;0;NULL;;Bildübertragung und -aufzeichnung bei allgemein zugänglichen Flächen und Räumen;;;;
356_382;§ 29 BremPolG;0;1;0;NULL;;Datenerhebung bei öffentlichen Veranstaltungen und Ansammlungen sowie auf öffentlichen Flächen;;;;
356_383;§ 29 Abs. 1 BremPolG;0;1;0;NULL;;Datenerhebung bei oder im Zusammenhang mit öffentlichen Veranstaltungen oder Ansammlungen;;;;
356_385;§ 30 BremPolG;0;1;0;NULL;;Datenerhebung mit besonderen Mitteln und Methoden;;;;
356_386;§ 31 BremPolG;0;1;0;NULL;;Kontrollmeldungen (verdeckte Registrierungen zur polizeilichen Beobachtung, gezielte Kontrollen);;;;
356_387;§ 32 BremPolG;0;1;0;NULL;;Datenerhebung durch Observation;;;;
356_388;§ 33 Abs. 3 BremPolG;0;1;0;NULL;;Datenerhebung durch Überwachung der Telekommunikation;;;;
356_389;§ 34 BremPolG;0;1;0;NULL;;Datenerhebung durch Vertrauenspersonen;;;;
356_39;HSOG;0;1;0;NULL;;Hessisches Gesetz über die öffentliche Sicherheit und Ordnung;;;;
356_390;§ 35 BremPolG;0;1;0;NULL;;Datenerhebung durch verdeckt ermittelnde Personen;;;;
356_391;§ 36f BremPolG;0;1;0;NULL;;Datenübermittlung an Behörden, öffentliche Stellen oder sonstige Stellen;;;;
356_392;§ 36g BremPolG;0;1;0;NULL;;Datenübermittlung an Stellen außerhalb des öffentlichen Bereichs;;;;
356_393;§ 36h BremPolG;0;1;0;NULL;;Datenabgleich;;;;
356_394;§ 36f Abs. 1 BremPolG;0;1;0;NULL;;Übermittlung an Behörden und öffentliche Stellen;;;;
356_395;§ 36j BremPolG;0;1;0;NULL;;Errichtung von Dateien, Errichtungsanordnung;;;;
356_396;§ 36b BremPolG;0;1;0;NULL;;speichern und verarbeiten von personenbezogenen Daten zur Vorgangsverwaltung und Dokumentation;;;;
356_398;§ 36d BremPolG;0;1;0;NULL;;Datenübermittlung zwischen Polizei- und Behörden der Gefahrenabwehr anderer Länder und des Bundes;;;;
356_399;§ 36i BremPolG;0;1;0;NULL;;Datenabgleich mit anderen Dateien;;;;
356_4;§ 34 Abs. 1 BKAG (bis 24.05.2018);0;1;0;NULL;;Einsatz technischer Mittel zur Eigensicherung, Abhören und Aufzeichnen des nicht öffentlich gesprochenen Wortes innerhalb oder außerhalb von Wohnungen zur Eigensicherung;;2018-05-24;;1
356_40;§ 11 HSOG;0;1;0;NULL;;Generalklausel;;;;
356_400;§ 36e BremPolG;0;1;0;NULL;;Übermittlung personenbezogener Daten zwischen Polizei und Ordnungsbehörden durch automatisiertes Verfahren;;;;
356_401;§ 36a BremPolG;0;1;0;NULL;;Speicherung, Veränderung und Nutzung personenbezogener Daten, Zweckbindung;;;;
356_402;§ 36c BremPolG;0;1;0;NULL;;Übermittlung personenbezogener Daten;;;;
356_403;§ 36k BremPolG;0;1;0;NULL;;Berichtigung, Löschung, Sperrung personenbezogener Daten;;;;
356_404;§ 36f Abs. 2 BremPolG;0;1;0;NULL;;Übermittlung an öffentliche Stellen anderer Staaten und an über- und zwischenstaatliche Stellen;;;;
356_405;§ 37 BremPolG;0;1;0;NULL;;Vollzugshilfe;;;;
356_406;§ 40 Abs. 3 BremPolG;0;1;0;NULL;;zum Gebrauch von Schusswaffen Berechtigte;;;;
356_407;§ 41 BremPolG;0;1;0;NULL;;unmittelbarer Zwang;;;;
356_408;§ 42 BremPolG;0;1;0;NULL;;Handeln auf Anordnung;;;;
356_409;§ 44 Abs. 4 BremPolG;0;1;0;NULL;;Warnung beim Einsatz von technischen Sperren und Dienstpferden;;;;
356_41;§ 12 HSOG;0;1;0;NULL;;Befragung und Auskunftspflicht;;;;
356_410;§ 44 Abs. 1 BremPolG;0;1;0;NULL;;Warnung beim Einsatz unmittelbaren Zwangs gegen Personen;;;;
356_411;§ 44 Abs. 2 BremPolG;0;1;0;NULL;;Warnung beim Einsatz von Schusswaffen;;;;
356_412;§ 44 BremPolG;0;1;0;NULL;;Warnung beim Einsatz unmittelbaren Zwangs;;;;
356_413;§ 44 Abs. 3 BremPolG;0;1;0;NULL;;Warnung beim Einsatz unmittelbaren Zwangs gegen Menschenmenge;;;;
356_414;§ 45 Nr. 1 BremPolG;0;1;0;NULL;;Fesselung von Personen zum Schutz von Personen und Sachen;;;;
356_415;§ 45 Abs. Nr. 1 Alt. 2 BremPolG;0;1;0;NULL;;Fesselung von Personen, die Widerstand leisten;;;;
356_416;§ 45 Nr. 2 BremPolG;0;1;0;NULL;;Fesselung von Personen, Fluchtgefahr;;;;
356_417;§ 45 BremPolG;0;1;0;NULL;;Fesselung von Personen;;;;
356_418;§ 45 Nr. 3 BremPolG;0;1;0;NULL;;Fesselung von Personen zum eigenen Schutz;;;;
356_419;§ 46 BremPolG;0;1;0;NULL;;allgemeine Vorschriften für den Schusswaffengebrauch;;;;
356_42;§ 18 Abs. 1 HSOG;0;1;0;NULL;;Identitätsfeststellung;;;;
356_420;§ 47 Abs. 1 Nr. 3b BremPolG;0;1;0;NULL;;Schusswaffengebrauch gegen Personen, Vereitelung der Flucht bei dringendem Verdacht eines Vergehens mit Schusswaffen oder Sprengstoff;;;;
356_421;§ 47 Abs. 1 Nr. 3a BremPolG;0;1;0;NULL;;Schusswaffengebrauch gegen Personen, Vereitelung der Flucht bei dringendem Verdacht eines Verbrechens;;;;
356_422;§ 47 Abs. 1 Nr. 5 BremPolG;0;1;0;NULL;;Schusswaffengebrauch gegen Personen zur Verhinderung einer gewaltsamen Befreiung aus amtlichem Gewahrsam;;;;
356_423;§ 47 Abs. 1 Nr. 1 BremPolG;0;1;0;NULL;;Schusswaffengebrauch gegen Personen zur Abwehr einer gegenwärtigen Gefahr für Leib oder Leben;;;;
356_424;§ 47 Abs. 1 Nr. 4 BremPolG;0;1;0;NULL;;Schusswaffengebrauch gegen Personen zur Vereitelung der Flucht oder zur Ergreifung einer Person, die in amtlichem Gewahrsam zu halten oder diesem zuzuführen ist;;;;
356_425;§ 47 Abs. 1 Nr. 2 BremPolG;0;1;0;NULL;;Schusswaffengebrauch zur Verhinderung eines Verbrechens oder eines Vergehens unter Anwendung oder Mitführung von Schusswaffen oder Explosivmitteln;;;;
356_426;§ 47 BremPolG;0;1;0;NULL;;Schusswaffengebrauch gegen Personen;;;;
356_427;PolG NRW;0;1;0;NULL;;Polizeigesetz des Landes Nordrhein-Westfalen (PolG NRW);;;;
356_428;§ 9 POG RP;0;1;0;NULL;;allgemeine Befugnisse;;;;
356_429;§ 9a POG RP;0;1;0;NULL;;Befragung und Auskunftspflicht;;;;
356_43;§ 18 Abs. 7 HSOG;0;1;0;NULL;;Prüfung von Berechtigungsscheinen;;;;
356_430;§ 10 POG RP;0;1;0;NULL;;Identitätsfeststellung und Prüfung von Berechtigungsscheinen;;;;
356_431;§ 11 POG RP;0;1;0;NULL;;erkennungsdienstliche Maßnahmen;;;;
356_432;§ 11a POG RP;0;1;0;NULL;;medizinische und molekulargenetische Untersuchungen;;;;
356_433;§ 12 POG RP;0;1;0;NULL;;Vorladung;;;;
356_434;§ 12a POG RP;0;1;0;NULL;;Meldeauflagen;;;;
356_435;§ 13 POG RP;0;1;0;NULL;;Platzverweisung, Aufenthaltsverbot;;;;
356_436;§ 14 POG RP;0;1;0;NULL;;Gewahrsam;;;;
356_437;§ 16b POG RP;0;1;0;NULL;;Datenerhebung durch den Einsatz technischer Mittel in polizeilichen Gewahrsamseinrichtungen;;;;
356_438;§ 17 POG RP;0;1;0;NULL;;Dauer der Freiheitsentziehung;;;;
356_439;§ 18 POG RP;0;1;0;NULL;;Durchsuchung und Untersuchung von Personen;;;;
356_44;§ 19 Abs. 2 HSOG;0;1;0;NULL;;ED-Maßnahme;;;;
356_440;§ 19 POG RP;0;1;0;NULL;;Durchsuchung von Sachen;;;;
