# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
245;Modus Operandi;Modus Operandi;ZIR;V1.5;20210817

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;AMK;Cybercrime;Eigentum;Rauschgift;Sexualdelikte;Tötungs-_Gewaltdelikte;Falschgeld;Schleusung_Menschenhandel;Urkundenkriminalität;Wirtschaftskriminalität
245_31;gezieltes Anfreunden mit Opfer;0;1;0;NULL;;;;;;;;;;;J;;;;
245_32;Herbeiführen einer Explosion;0;1;0;NULL;;;;;;;;;;;J;;;;
245_33;Herstellen von Nähe als Trainer / Übungsleiter;0;1;0;NULL;;;;;;;;;;J;;;;;
245_34;Hilflosigkeit herbeiführen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_35;Kraftfahrzeug-Jacking;0;1;0;NULL;;Diebstahl (einfach und schwer) aus Wohnungen und Verkaufsräumen zur Erlangung der Fahrzeugschlüssel, um das dazugehörige Fahrzeug zu entwenden.;;;;;;J;;;;;;;
245_36;Internethandel / Darknethandel;0;1;0;NULL;;;;;;J;;;J;;;J;;;
245_37;Kneifen / Ziehen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_38;Kontaktaufnahme;0;1;0;NULL;;;;;;;;;;;J;;;;
245_39;Nutzung von legalen Lieferschienen;0;1;0;NULL;;;;;;J;;;J;;;;;;
245_4;andere Gewalt;0;1;0;NULL;;;;;;;;;;;J;;;;
245_40;Nutzung von legalen Storageangeboten;0;1;0;NULL;;;;;;J;;;J;;;;;;
245_41;Nutzung von Post- und Kurierdiensten;0;1;0;NULL;;;;;;J;J;;J;;;J;;;
245_42;Nutzung von Trägerstoffen;0;1;0;NULL;;;;;;J;;;J;;;;;;
245_43;Opfer fixieren / fesseln;0;1;0;NULL;;;;;;;;;;;J;;;;
245_44;Ransomware;0;1;0;NULL;;Durch das Einbringen einer spezifischen Malware (Schadsoftware) wird bewirkt, dass der berechtigte Nutzer eines IT-Systems (z. B. Computer) dieses ganz oder teilweise nicht mehr nutzen und / oder auf die darauf gespeicherten Daten nicht mehr zugreifen kann. Für die (vermeintliche) Freigabe des IT-Systems oder der Daten wird ein Anspruch auf Zahlung ("ransom", Lösegeld) erhoben.;;;;;J;;;;;;;;
245_45;Rip-Deal;0;1;0;NULL;;Der Geschädigte wird unter Vortäuschung eines beabsichtigten Kaufgeschäftes zu einem Treffen bewegt. Hierzu soll er eine bestimmte Menge Bargeld mitbringen. Dieses wird ihm am Treffpunkt gewaltsam entwendet (Raub). Wenn das Geld nicht geraubt, sondern dem Geschädigten Falschgeld oder wertloses Papier übergeben wird, dann liegt ein Betrug vor.;;;;;;J;;;;;;;
245_46;Sammlungs- / Spendenbetrug;0;1;0;NULL;;Unter Vortäuschung eines bestimmten Sammel- / Spendenzwecks oder einer Bedürftigkeit  werden Geldsummen eingesammelt / erbettelt und im Anschluss für private Zwecke genutzt.;;;Prospektbetrug;;;J;;;;;;;
245_47;scharfe Gewalt;0;1;0;NULL;;;;;;;;;;;J;;;;
245_48;Schlagen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_49;Schütteln;0;1;0;NULL;;;;;;;;;;;J;;;;
245_5;Angriff auf das Online-Banking;0;1;0;NULL;;Der Angriff auf das Online-Banking stellt einen Spezialfall des Digitalen Identitätsdiebstahls / der Accountübernahme dar. Die Tat zielt auf den unbefugten Zugang zu einem Online-Banking Angebot einer Bank und dessen Missbrauch. Zu den Online-Banking Angeboten zählen Zugangsberechtigungen zu Girokonten, Sparkonten, Wertpapierdepots, etc. mittels Computer oder Sprachcomputer. Die Angriffshandlungen umfassen auch entsprechende Vorbereitungshandlungen ("Phishing", "Malware", etc.).;;;;;J;;;;;;;;
245_50;sexuell belästigen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_51;Stalken / Verfolgen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_52;Stoßen / Schubsen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_53;Streit anfangen (Angriff auf das Opfer);0;1;0;NULL;;;;;;;;;;;J;;;;
245_54;Streit anfangen (Kontaktaufnahme);0;1;0;NULL;;;;;;;;;;;J;;;;
245_55;Strom zufügen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_56;stumpfe Gewalt mit Werkzeug;0;1;0;NULL;;;;;;;;;;;J;;;;
245_57;Tarnen als Legalsubstanz;0;1;0;NULL;;;;;;J;;;J;;;;;;
245_58;täterspezifische Verhaltensweise;0;1;0;NULL;;;;;;;;;;;J;;;;
245_59;Tathergang verschleiern;0;1;0;NULL;;;;;;;;;;;J;;;;
245_6;Angriff auf das Opfer;0;1;0;NULL;;;;;;;;;;;J;;;;
245_60;Tatörtlichkeit verschleiern;0;1;0;NULL;;;;;;;;;;;J;;;;
245_61;Treten;0;1;0;NULL;;;;;;;;;;;J;;;;
245_62;Trickdiebstahl;0;1;0;NULL;;Trickdiebstahl liegt vor, wenn der Täter durch Täuschung / Irrtumserregung ein (kurzfristiges) Vertrauensverhältnis zum Geschädigten aufbaut (z. B. durch Vorgabe einer Dienstleister-, Behörden- oder Amtseigenschaft) oder durch Ablenkung (z. B. durch Anrempeln, Beschmutzen der Kleidung) die verminderte Wahrnehmungs- bzw. Reaktionsfähigkeit des Geschädigten nutzt, um (zunächst unbemerkt) den Gewahrsam über eine fremde Sache zu erlangen.;;;;;;J;;;;;;;
245_63;um Hilfe / Information bitten;0;1;0;NULL;;;;;;;;;;;J;;;;
245_64;Unterlassen von Hilfe;0;1;0;NULL;;;;;;;;;;;J;;;;
245_65;Verbauen / Verstecken;0;1;0;NULL;;;;;;J;;;J;;;J;;;
245_66;Verbrennen / Verbrühen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_67;Vergewaltigen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_68;Verlegen der Atemwege;0;1;0;NULL;;;;;;;;;;;J;;;;
245_69;Verletzen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_7;Ansprechen unter Legende;0;1;0;NULL;;;;;;;;;;J;;;;;
245_70;Vernachlässigen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_71;Zusendung von Lösegeldforderung;0;1;0;NULL;;;;;;;J;;;;;;;;
245_72;Androhung weiterer Angriffe;0;1;0;NULL;;;;;;;J;;;;;;;;
245_73;Abgriff von Zahlungskartendaten bei im Zahlungsprozess beteiligten Insituten;0;1;0;NULL;;Processor / Aquirer / Payment Service Provider / Vertragsunternehmen;;;;;J;;;;;;;;
245_74;Telefonkontakt;0;1;0;NULL;;;;;;;J;;;;;;;;
245_75;Rücküberweisung;0;1;0;NULL;;;;;;;J;;;;;;;;
245_76;Rufnummer für mTAN geändert;0;1;0;NULL;;;;;;;J;;;;;;;;
245_77;Angriff auf Geldautomat;0;1;0;NULL;GA;;;;;;;J;;;;;;;
245_78;Komplettentwendung;0;1;0;NULL;;;;;;;;J;;;;;;;
245_79;Aufsprengen;0;1;0;NULL;;;;;;;;J;;;;;;;
245_8;Anwendung berauschender Mittel;0;1;0;NULL;;;;;;;;;;J;;;;;
245_80;Aufspreizen;0;1;0;NULL;;;;;;;;J;;;;;;;
245_81;Aufschneiden;0;1;0;NULL;;;;;;;;J;;;;;;;
245_82;Anwendung von List;0;1;0;NULL;;;;;;;;;;J;;;;;
245_83;Arzneimittel in der illegalen Verteilerkette;0;1;0;NULL;;;;;;J;;;;;;;;;
245_84;aus einer Gruppe heraus begangen;0;1;0;NULL;;;;;;;;;;J;;;;;
245_85;Ausnutzen der Hilfslosigkeit;0;1;0;NULL;;;;;;;;;;J;;;;;
245_86;Ausnutzen einer Zwangslage;0;1;0;NULL;;;;;;;;;;J;;;;;
245_87;Besonderheit / neuer Modus Operandi;0;1;0;NULL;;;;;;J;J;J;J;J;J;J;;;
245_88;betrügerisches Erlangen;0;1;0;NULL;;;;;;;;J;;;;;;;
245_9;Auflauern;0;1;0;NULL;;;;;;;;;;;J;;;;
245_90;falsche / gefälschte Kreditkarten;0;1;0;NULL;;;;;;;;J;;;;;;;
245_91;Schlüsseltausch;0;1;0;NULL;;;;;;;;J;;;;;;;
245_92;Bewegungsmelder manipulieren;0;1;0;NULL;;;;;;;;J;;;;;;;
245_93;Cash trapping;0;1;0;NULL;;;;;;;J;;;;;;;;
245_94;card not present fraud;0;1;0;NULL;;;;;;;J;;;;;;;;
245_95;Diebstahl aus Automaten;0;1;0;NULL;;;;;;;;J;;;;;;;
245_96;Diebstahl von Kfz;0;1;0;NULL;;;;;;;;J;;;;;;;
245_97;illegale Arzneimittel in der legalen Verteilerkette;0;1;0;NULL;;;;;;J;;;;;;;;;
245_98;Schlüsselangeln;0;1;0;NULL;;;;;;;;J;;;;;;;
245_99;Blech aufschneiden;0;1;0;NULL;;;;;;;;J;;;;;;;
